formula,aic,rSquare,warn
route ~ + distance,25.7194529,0.57659,
route ~ + lights,37.66575967,0.3437,
route ~ + flowRate,22.25161858,0.64419,
route ~ + flowRate + lights,17.39406928,0.77788,
route ~ + flowRate + modelYear,19.91137628,0.72881,
route ~ + lights + modelYear,35.35226027,0.42779,
route ~ + age + distance,23.4629145,0.65957,
route ~ + age + children + distance,22.82637264,0.71097,
route ~ + flowRate + lights + travelTime,16.40896078,0.83607,
route ~ + distance + modelYear,25.09096517,0.62783,
route ~ + age + distance + travelTime,22.55502179,0.71626,
route ~ + distance + modelYear + sex,24.07142285,0.6867,
route ~ + lights + modelYear + sex,33.88933679,0.4953,
route ~ + distance + maritalStatus + modelYear + origin,24.31896255,0.72086,
route ~ + age + distance + modelYear + travelTime,21.71594827,0.7716,
route ~ + flowRate + lights + seatBelts,17.55542057,0.81372,
route ~ + age + distance + sex,20.05530014,0.76499,
route ~ + flowRate + modelYear + travelTime,19.81765424,0.76962,
route ~ + age + lights + modelYear + sex,33.3783838,0.54425,
route ~ + distance + income + modelYear + sex + travelTime,22.03309213,0.80441,
route ~ + flowRate + travelTime,22.21100166,0.68398,
route ~ + flowRate + lights + sex,17.99871912,0.80508,
route ~ + age + children + distance + modelYear,23.40918168,0.7386,
route ~ + flowRate + maritalStatus + origin + sex + travelTime,21.19502411,0.82075,
route ~ + lights + modelYear + sex + travelTime,34.39061507,0.52452,
route ~ + age + children + distance + sex,19.2076643,0.8205,
route ~ + distance + maritalStatus + modelYear + origin + sex,21.49247408,0.81495,
route ~ + age + distance + income + maritalStatus + modelYear,24.29969448,0.76022,
route ~ + lights + modelYear + origin + sex,34.38893497,0.52455,
route ~ + flowRate + lights + origin + sex,16.38314109,0.87556,
route ~ + distance + sex,25.96482001,0.6108,
route ~ + distance + modelYear + travelTime,25.51191513,0.65861,
route ~ + flowRate + lights + origin,18.35280795,0.79818,
route ~ + flowRate + origin + travelTime,21.11542578,0.74432,
route ~ + age + income + lights + modelYear,35.84895591,0.49609,
route ~ + age + distance + income + modelYear,24.89752523,0.70958,
route ~ + age + lights,37.14329083,0.39288,
route ~ + age + lights + modelYear,35.31485025,0.46751,
route ~ + distance + modelYear + sex + travelTime,24.56458124,0.71607,
route ~ + age + distance + modelYear,24.15330616,0.6851,
route ~ + flowRate + origin,22.26929998,0.68284,
route ~ + age + distance + maritalStatus + modelYear,24.67772302,0.71387,
route ~ + age + distance + maritalStatus + travelTime,23.17195793,0.74322,
route ~ + flowRate + modelYear + origin,20.84028935,0.74969,
route ~ + age + children + distance + income + modelYear,24.69683483,0.75248,
route ~ + distance + maritalStatus + modelYear + origin + travelTime,23.21281537,0.78141,
route ~ + distance + maritalStatus + origin,26.82534501,0.63301,
route ~ + children + distance + maritalStatus + modelYear + origin,25.83174074,0.73036,
route ~ + children + distance + income + origin + sex,27.22147459,0.70327,
route ~ + distance + income + maritalStatus + origin + sex,27.61902762,0.69552,
route ~ + flowRate + modelYear + seatBelts + travelTime,20.97666081,0.78602,
route ~ + age + lights + modelYear + seatBelts + sex,34.51690702,0.56105,
route ~ + children + distance + income + modelYear + sex,26.5369242,0.71661,
route ~ + flowRate + lights + maritalStatus + seatBelts,18.88328339,0.82683,
route ~ + age + income + lights + modelYear + sex,34.5514486,0.56037,
route ~ + flowRate + lights + seatBelts + sex,18.55667774,0.83319,
route ~ + flowRate + modelYear + origin + travelTime,20.2932538,0.79934,
route ~ + flowRate + income + lights,18.81263076,0.78921,
route ~ + age + children + lights + travelTime,38.43165927,0.44574,
route ~ + distance + maritalStatus + origin + sex,26.9227127,0.6701,
route ~ + flowRate + lights + origin + seatBelts,18.74309647,0.82956,
route ~ + flowRate + modelYear + origin + seatBelts + travelTime,20.87244713,0.82704,
route ~ + age + lights + modelYear + sex + travelTime,34.41167733,0.5631,
route ~ + age + distance + income,24.79907597,0.67251,
route ~ + distance + maritalStatus + modelYear + sex,25.52084104,0.69743,
route ~ + age + children + lights + modelYear,36.27202705,0.48784,
route ~ + flowRate + lights + maritalStatus,18.8491119,0.7885,
route ~ + distance + income + modelYear + sex,25.49686218,0.6979,
route ~ + children + distance + modelYear + sex,25.59641018,0.69596,
route ~ + age + distance + sex + travelTime,20.38825098,0.79749,
route ~ + age + lights + modelYear + origin + sex,34.4581064,0.56219,
route ~ + flowRate + lights + sex + travelTime,17.95818369,0.84486,
route ~ + age + distance + modelYear + seatBelts + travelTime,23.40043903,0.77775,
route ~ + age + children + lights,37.92459198,0.41664,
route ~ + distance + income + maritalStatus + modelYear + origin,25.77598351,0.73144,
route ~ + age + distance + income + modelYear + travelTime,23.45106553,0.77677,
route ~ + age + children + distance + maritalStatus + modelYear,24.67251627,0.75296,
route ~ + flowRate + maritalStatus + origin + travelTime,21.70872437,0.77174,
route ~ + age + distance + maritalStatus + sex,21.50075351,0.7758,
route ~ + flowRate + lights + maritalStatus + travelTime,18.11166291,0.84187,
route ~ + distance + origin + sex,26.66423429,0.63615,
route ~ + distance + maritalStatus + modelYear + origin + seatBelts,26.07014776,0.72571,
route ~ + distance + maritalStatus + modelYear + sex + travelTime,25.70345751,0.73286,
route ~ + flowRate + maritalStatus,22.83428447,0.67182,
route ~ + flowRate + lights + maritalStatus + sex,19.24913787,0.81969,
route ~ + distance + income + origin + sex,27.44247587,0.65997,
route ~ + flowRate + origin + sex + travelTime,22.60646672,0.75424,
route ~ + age + children + distance + travelTime,23.80795441,0.73082,
route ~ + children + distance + income + sex,28.12738377,0.64662,
route ~ + age + lights + maritalStatus + modelYear,36.3005086,0.48729,
route ~ + age + distance + origin + sex,21.17794184,0.78209,
route ~ + flowRate + maritalStatus + modelYear,21.36442544,0.73947,
route ~ + distance + origin,26.63627481,0.59771,
route ~ + children + flowRate + lights + origin,19.48512207,0.81509,
route ~ + distance + modelYear + origin + sex,25.56557993,0.69656,
route ~ + age + distance + income + modelYear + seatBelts,26.17376606,0.72369,
route ~ + age + income + lights + modelYear + origin,36.99769555,0.51268,
route ~ + distance + maritalStatus + modelYear + travelTime,26.7194128,0.67406,
route ~ + age + children + lights + modelYear + travelTime,37.30772858,0.50664,
route ~ + distance + income + sex,27.0905354,0.62784,
route ~ + age + distance + maritalStatus,24.89982911,0.67055,
route ~ + flowRate + maritalStatus + travelTime,22.81205088,0.71125,
route ~ + age + distance + maritalStatus + modelYear + seatBelts,26.2188719,0.72281,
route ~ + distance + flowRate,11.47469795,0.89327,
route ~ + age + children + distance + modelYear + travelTime,23.44362857,0.77691,
route ~ + lights + modelYear + travelTime,36.47845554,0.44483,
route ~ + age + distance + maritalStatus + seatBelts + travelTime,24.72008462,0.75203,
route ~ + age + distance + seatBelts + sex,21.65946552,0.77271,
route ~ + distance + income + modelYear + origin + sex,26.58861239,0.7156,
route ~ + distance + maritalStatus + modelYear,26.5518771,0.63834,
route ~ + distance + income + origin + sex + travelTime,28.36260158,0.68102,
route ~ + age + lights + maritalStatus + modelYear + seatBelts,37.27685415,0.50724,
route ~ + age + children + distance + origin,24.57813916,0.71581,
route ~ + children + distance + modelYear,26.595585,0.63749,
route ~ + flowRate + maritalStatus + modelYear + travelTime,21.29728466,0.77977,
route ~ + flowRate + income + lights + travelTime,18.29034697,0.83838,
route ~ + age + children + distance + income,24.63063315,0.71478,
route ~ + children + flowRate + lights,18.902744,0.78746,
route ~ + age + children + distance + modelYear + seatBelts,25.1597524,0.74346,
route ~ + age + distance + maritalStatus + origin + sex,22.08299457,0.80344,
route ~ + age + income + lights + maritalStatus + modelYear,37.08140508,0.51105,
route ~ + age + children + distance + maritalStatus,24.6201216,0.71499,
route ~ + age + distance + seatBelts + travelTime,24.38205377,0.71963,
route ~ + age + children + income + lights + modelYear,37.15585976,0.5096,
route ~ + children + flowRate + lights + travelTime,18.31507709,0.8379,
route ~ + age + distance + origin + travelTime,24.34212331,0.72041,
route ~ + children + distance + modelYear + origin + sex,26.88613724,0.7098,
route ~ + distance + income + sex + travelTime,28.18100251,0.64557,
route ~ + age + children + distance + origin + sex,20.91229923,0.82626,
route ~ + flowRate + maritalStatus + origin,23.15284617,0.7046,
route ~ + flowRate + income + lights + origin,19.90228196,0.80696,
route ~ + children + flowRate + lights + seatBelts,19.20319344,0.82059,
route ~ + flowRate + maritalStatus + modelYear + seatBelts + travelTime,22.30739298,0.79906,
route ~ + lights + modelYear + origin + sex + travelTime,35.5154791,0.54158,
route ~ + flowRate + lights + maritalStatus + origin + sex,18.26258248,0.87791,
route ~ + flowRate + income + modelYear + travelTime,21.64287358,0.77303,
route ~ + distance + modelYear + seatBelts + sex,25.90257363,0.68999,
route ~ + distance + income + maritalStatus + modelYear + sex,26.96557256,0.70825,
route ~ + distance + income + maritalStatus + origin + travelTime,29.34443475,0.66188,
route ~ + age + distance + maritalStatus + modelYear + origin,25.26416001,0.74142,
route ~ + age + children + distance + seatBelts,24.74305161,0.71259,
route ~ + age + distance + maritalStatus + origin,25.86169093,0.69078,
route ~ + children + flowRate + lights + origin + seatBelts,20.15734673,0.84098,
route ~ + flowRate + maritalStatus + origin + seatBelts + travelTime,23.42372392,0.7773,
route ~ + lights + sex + travelTime,38.68423765,0.40183,
route ~ + flowRate + lights + maritalStatus + sex + travelTime,19.46283026,0.85452,
route ~ + distance + modelYear + seatBelts + sex + travelTime,26.16189541,0.72392,
route ~ + flowRate + modelYear + origin + seatBelts,22.44427332,0.75741,
route ~ + age + distance + maritalStatus + origin + travelTime,24.56325072,0.75509,
route ~ + age + distance + modelYear + origin + travelTime,23.69475372,0.77202,
